ORDER_ID,DATE,DAY_NAME,Order_status,SALES
6389189,"October 1, 2023",Sun,Delivered,837.75
6384496,"October 1, 2023",Sun,Delivered,115
6386276,"October 1, 2023",Sun,Delivered,67.5
6385097,"October 1, 2023",Sun,Delivered,170
6384834,"October 1, 2023",Sun,Delivered,381
6391109,"October 1, 2023",Sun,Delivered,342
6388626,"October 1, 2023",Sun,Delivered,57.5
6390927,"October 1, 2023",Sun,Delivered,119
6385930,"October 1, 2023",Sun,Delivered,230
6390578,"October 1, 2023",Sun,Delivered,224.5
6384124,"October 1, 2023",Sun,Delivered,401.25
6384892,"October 1, 2023",Sun,Canceled,350
6390659,"October 1, 2023",Sun,Delivered,119
6387359,"October 1, 2023",Sun,Delivered,344
6389161,"October 1, 2023",Sun,Delivered,353.25
6383703,"October 1, 2023",Sun,Delivered,211.75
6390247,"October 1, 2023",Sun,Delivered,100
6388120,"October 1, 2023",Sun,Delivered,113.5
6386943,"October 1, 2023",Sun,Delivered,159
6387218,"October 1, 2023",Sun,Delivered,786.75
6383537,"October 1, 2023",Sun,Delivered,423.5
6389566,"October 1, 2023",Sun,Delivered,"1,179.75"
6384669,"October 1, 2023",Sun,Delivered,95.25
6387731,"October 1, 2023",Sun,Delivered,422.5
6386154,"October 1, 2023",Sun,Delivered,350
6383651,"October 1, 2023",Sun,Delivered,113.25
6388621,"October 1, 2023",Sun,Canceled,692
6387977,"October 1, 2023",Sun,Delivered,175
6383480,"October 1, 2023",Sun,Delivered,"1,573.5"
6383781,"October 1, 2023",Sun,Delivered,167
6384078,"October 1, 2023",Sun,Delivered,"3,521.25"
6383907,"October 1, 2023",Sun,Delivered,74.5
6384082,"October 1, 2023",Sun,Delivered,458
6384176,"October 1, 2023",Sun,Delivered,352.25
6384295,"October 1, 2023",Sun,Delivered,147.75
6386959,"October 1, 2023",Sun,Delivered,803.5
6386348,"October 1, 2023",Sun,Delivered,236.5
6387062,"October 1, 2023",Sun,Delivered,211
6387930,"October 1, 2023",Sun,Delivered,360
6384194,"October 1, 2023",Sun,Delivered,692.75
6387479,"October 1, 2023",Sun,Delivered,381
6383899,"October 1, 2023",Sun,Delivered,423
6389486,"October 1, 2023",Sun,Delivered,337.5
6389608,"October 1, 2023",Sun,Delivered,362.5
6383503,"October 1, 2023",Sun,Delivered,118
