 PRODUCT_SALES_ORDER_ID , SALES_ORDER_ID ,PRODUCT_ID,SALES
" 67,642,013 "," 6,395,668 ",2778,243.5
" 67,710,699 "," 6,406,048 ",583,211.75
" 67,719,758 "," 6,407,215 ",2438,129
" 67,721,791 "," 6,407,499 ",8120,103.5
" 67,723,593 "," 6,407,082 ",142,168
" 67,618,937 "," 6,392,081 ",583,1056.25
" 67,581,531 "," 6,386,532 ",415,230
" 67,622,589 "," 6,392,606 ",7558,347.5
" 67,626,812 "," 6,393,256 ",2778,476
" 67,598,822 "," 6,389,060 ",168,57.5
" 67,636,706 "," 6,394,844 ",2438,32.5
" 67,641,049 "," 6,395,532 ",9081,495
" 67,641,748 "," 6,395,632 ",361,171
" 67,559,845 "," 6,383,472 ",142,174.75
" 67,647,062 "," 6,396,426 ",583,210.75
" 67,588,863 "," 6,387,588 ",2778,1182.5
" 67,561,685 "," 6,383,743 ",415,229
" 67,580,353 "," 6,386,359 ",9468,372.5
" 67,609,609 "," 6,390,683 ",9468,74.5
" 67,658,253 "," 6,398,164 ",168,57.5
" 67,660,341 "," 6,398,491 ",583,212.25
" 67,663,970 "," 6,399,052 ",2438,386.75
" 67,615,445 "," 6,391,578 ",9081,49.5
" 67,649,922 "," 6,396,877 ",2438,65
" 67,667,531 "," 6,399,591 ",9468,149
" 67,649,059 "," 6,396,745 ",974,201.5
" 67,632,249 "," 6,394,157 ",417,171
" 67,625,572 "," 6,393,056 ",1070,592.5
" 67,669,599 "," 6,399,908 ",2438,386.75
" 67,672,758 "," 6,400,409 ",583,210.75
" 67,673,509 "," 6,400,518 ",152,324.5
" 67,674,690 "," 6,400,690 ",168,57.5
" 67,676,546 "," 6,389,915 ",152,653
" 67,677,517 "," 6,401,141 ",168,115
" 67,649,250 "," 6,396,777 ",2438,127
" 67,678,096 "," 6,401,223 ",583,1058.75
" 67,678,683 "," 6,401,307 ",9289,336.5
" 67,681,021 "," 6,394,774 ",2438,32.5
" 67,685,328 "," 6,402,257 ",6952,375
" 67,642,630 "," 6,395,745 ",415,230.75
" 67,644,100 "," 6,395,978 ",2778,223.5
" 67,690,081 "," 6,402,986 ",168,57.5
" 67,690,826 "," 6,403,089 ",152,324.5
" 67,691,387 "," 6,403,162 ",9468,73
" 67,691,351 "," 6,401,021 ",9046,159
" 67,694,809 "," 6,403,695 ",583,212
" 67,695,251 "," 6,403,757 ",2438,382.75
" 67,668,759 "," 6,399,785 ",2778,335.25
" 67,699,193 "," 6,404,294 ",417,336
" 67,704,356 "," 6,404,998 ",8120,100
